duration,credit_amount,age,checking_status,employment,savings_status,purpose,target
15.0,1471.0,35.0,no checking,1<=X<4,<100,radio/tv,1
24.0,1851.0,33.0,no checking,4<=X<7,<100,radio/tv,1
18.0,1042.0,33.0,0<=X<200,1<=X<4,no known savings,new car,0
15.0,1520.0,63.0,no checking,>=7,no known savings,furniture/equipment,1
24.0,5804.0,27.0,no checking,1<=X<4,>=1000,used car,1
15.0,1532.0,31.0,no checking,1<=X<4,100<=X<500,education,1
36.0,7855.0,25.0,no checking,1<=X<4,<100,new car,0
30.0,4280.0,26.0,0<=X<200,1<=X<4,100<=X<500,business,0
36.0,2273.0,32.0,0<=X<200,4<=X<7,<100,education,1
24.0,3749.0,26.0,>=200,<1,<100,furniture/equipment,1
12.0,1264.0,57.0,no checking,>=7,no known savings,business,1
21.0,3414.0,26.0,<0,<1,<100,education,0
24.0,4151.0,35.0,no checking,1<=X<4,100<=X<500,furniture/equipment,1
21.0,3275.0,36.0,no checking,>=7,<100,used car,1
6.0,343.0,27.0,<0,<1,<100,domestic appliance,1
9.0,918.0,30.0,0<=X<200,1<=X<4,<100,furniture/equipment,0
6.0,660.0,23.0,no checking,4<=X<7,500<=X<1000,repairs,1
36.0,1953.0,61.0,0<=X<200,>=7,<100,business,0
15.0,2186.0,33.0,no checking,4<=X<7,no known savings,furniture/equipment,1
24.0,1987.0,21.0,<0,1<=X<4,<100,radio/tv,0
18.0,4153.0,42.0,<0,1<=X<4,<100,furniture/equipment,0
36.0,3595.0,28.0,no checking,>=7,<100,radio/tv,1
30.0,3656.0,49.0,>=200,>=7,no known savings,radio/tv,1
48.0,6758.0,31.0,<0,1<=X<4,<100,radio/tv,0
18.0,1295.0,27.0,0<=X<200,<1,<100,furniture/equipment,1
12.0,717.0,52.0,no checking,>=7,<100,radio/tv,1
48.0,8358.0,30.0,0<=X<200,<1,500<=X<1000,new car,1
18.0,1950.0,34.0,no checking,4<=X<7,<100,business,1
36.0,10974.0,26.0,no checking,unemployed,<100,furniture/equipment,0
24.0,2578.0,34.0,no checking,>=7,>=1000,radio/tv,1
24.0,2924.0,63.0,<0,1<=X<4,<100,used car,1
15.0,5045.0,59.0,no checking,>=7,no known savings,new car,1
9.0,3832.0,64.0,no checking,>=7,no known savings,education,1
12.0,6199.0,28.0,<0,1<=X<4,<100,radio/tv,0
24.0,3617.0,20.0,>=200,>=7,no known savings,furniture/equipment,1
30.0,2503.0,41.0,0<=X<200,>=7,100<=X<500,business,1
15.0,960.0,30.0,no checking,4<=X<7,>=1000,furniture/equipment,1
12.0,1935.0,43.0,no checking,>=7,<100,furniture/equipment,1
6.0,1299.0,74.0,>=200,1<=X<4,<100,new car,1
48.0,10961.0,27.0,0<=X<200,4<=X<7,>=1000,radio/tv,0
18.0,2124.0,24.0,<0,1<=X<4,<100,furniture/equipment,0
24.0,2032.0,60.0,no checking,>=7,<100,new car,1
12.0,902.0,21.0,<0,4<=X<7,<100,retraining,0
36.0,8947.0,31.0,no checking,4<=X<7,no known savings,used car,1
18.0,433.0,22.0,no checking,unemployed,<100,radio/tv,0
12.0,1258.0,22.0,no checking,<1,<100,furniture/equipment,1
48.0,6331.0,46.0,<0,>=7,<100,used car,0
36.0,1977.0,40.0,<0,>=7,no known savings,education,0
18.0,1880.0,32.0,<0,4<=X<7,<100,radio/tv,1
24.0,1216.0,38.0,0<=X<200,<1,100<=X<500,radio/tv,0
42.0,6289.0,33.0,>=200,<1,<100,business,1
21.0,1647.0,40.0,<0,1<=X<4,no known savings,new car,0
30.0,3496.0,34.0,0<=X<200,1<=X<4,>=1000,furniture/equipment,1
12.0,1574.0,50.0,no checking,1<=X<4,<100,furniture/equipment,1
18.0,1808.0,22.0,no checking,4<=X<7,<100,furniture/equipment,0
36.0,4454.0,34.0,no checking,1<=X<4,<100,radio/tv,1
24.0,1371.0,25.0,<0,1<=X<4,no known savings,new car,0
36.0,9572.0,28.0,no checking,<1,<100,business,0
36.0,7980.0,27.0,no checking,<1,no known savings,business,0
12.0,701.0,40.0,<0,1<=X<4,<100,radio/tv,1
24.0,7814.0,38.0,no checking,4<=X<7,<100,used car,1
12.0,1995.0,27.0,0<=X<200,<1,100<=X<500,new car,1
30.0,3108.0,31.0,<0,<1,<100,furniture/equipment,0
42.0,4042.0,36.0,no checking,1<=X<4,500<=X<1000,furniture/equipment,1
24.0,3552.0,27.0,<0,4<=X<7,<100,furniture/equipment,0
6.0,484.0,28.0,0<=X<200,4<=X<7,<100,radio/tv,1
36.0,9055.0,35.0,no checking,1<=X<4,no known savings,education,1
24.0,1413.0,28.0,no checking,1<=X<4,<100,radio/tv,1
21.0,2606.0,28.0,<0,<1,<100,radio/tv,1
13.0,882.0,23.0,0<=X<200,<1,<100,radio/tv,1
4.0,601.0,23.0,no checking,<1,<100,furniture/equipment,1
24.0,4169.0,28.0,<0,1<=X<4,<100,furniture/equipment,1
15.0,3029.0,33.0,no checking,4<=X<7,<100,used car,1
12.0,1480.0,66.0,>=200,unemployed,500<=X<1000,new car,1
12.0,609.0,26.0,>=200,<1,<100,business,0
4.0,1544.0,42.0,no checking,4<=X<7,<100,radio/tv,1
24.0,1376.0,28.0,no checking,4<=X<7,500<=X<1000,radio/tv,1
12.0,2578.0,55.0,<0,unemployed,<100,furniture/equipment,1
12.0,2002.0,30.0,0<=X<200,4<=X<7,<100,new car,1
10.0,727.0,46.0,no checking,>=7,500<=X<1000,education,1
18.0,1887.0,28.0,0<=X<200,1<=X<4,no known savings,business,1
12.0,1223.0,46.0,0<=X<200,>=7,<100,new car,0
6.0,1209.0,47.0,0<=X<200,unemployed,<100,new car,0
24.0,1940.0,60.0,no checking,>=7,>=1000,new car,1
21.0,2319.0,33.0,>=200,<1,<100,education,0
12.0,2171.0,29.0,no checking,<1,<100,radio/tv,1
24.0,937.0,27.0,no checking,<1,<100,retraining,1
21.0,1602.0,30.0,<0,>=7,<100,new car,1
18.0,1049.0,21.0,<0,<1,<100,furniture/equipment,1
18.0,6761.0,68.0,no checking,1<=X<4,no known savings,new car,0
15.0,1829.0,46.0,no checking,>=7,<100,radio/tv,1
12.0,766.0,66.0,0<=X<200,1<=X<4,500<=X<1000,radio/tv,0
21.0,2353.0,47.0,0<=X<200,1<=X<4,<100,new car,1
24.0,3488.0,23.0,no checking,4<=X<7,100<=X<500,used car,1
9.0,1388.0,26.0,no checking,1<=X<4,<100,furniture/equipment,1
33.0,4281.0,23.0,<0,1<=X<4,500<=X<1000,furniture/equipment,0
15.0,392.0,23.0,>=200,<1,<100,education,1
12.0,1318.0,54.0,0<=X<200,>=7,>=1000,new car,1
24.0,1525.0,34.0,no checking,4<=X<7,>=1000,new car,1
30.0,7596.0,63.0,no checking,>=7,no known savings,used car,1
12.0,2577.0,42.0,<0,1<=X<4,<100,furniture/equipment,1
6.0,2080.0,24.0,no checking,1<=X<4,500<=X<1000,new car,1
20.0,2212.0,39.0,<0,4<=X<7,no known savings,furniture/equipment,1
10.0,2241.0,48.0,<0,<1,<100,new car,1
15.0,1386.0,40.0,no checking,1<=X<4,no known savings,radio/tv,1
22.0,1283.0,25.0,no checking,4<=X<7,no known savings,new car,1
18.0,1943.0,23.0,no checking,<1,<100,repairs,0
12.0,1620.0,30.0,<0,1<=X<4,<100,furniture/equipment,1
9.0,745.0,28.0,>=200,1<=X<4,<100,radio/tv,0
11.0,2142.0,28.0,no checking,>=7,>=1000,business,1
6.0,1595.0,51.0,no checking,4<=X<7,<100,radio/tv,1
18.0,976.0,23.0,<0,<1,<100,new car,0
28.0,4006.0,45.0,<0,1<=X<4,<100,new car,0
54.0,15945.0,58.0,0<=X<200,<1,<100,business,0
6.0,3384.0,44.0,<0,1<=X<4,<100,furniture/equipment,0
36.0,2337.0,36.0,0<=X<200,>=7,<100,radio/tv,1
6.0,4611.0,32.0,no checking,<1,<100,furniture/equipment,0
24.0,2684.0,35.0,no checking,1<=X<4,<100,radio/tv,1
18.0,2169.0,28.0,no checking,1<=X<4,<100,business,0
15.0,3594.0,46.0,no checking,<1,<100,used car,1
12.0,741.0,22.0,<0,unemployed,100<=X<500,domestic appliance,0
22.0,2675.0,40.0,no checking,>=7,500<=X<1000,radio/tv,1
18.0,2779.0,21.0,0<=X<200,1<=X<4,<100,used car,1
45.0,4746.0,25.0,0<=X<200,<1,<100,radio/tv,0
9.0,2030.0,24.0,0<=X<200,4<=X<7,no known savings,furniture/equipment,1
10.0,2848.0,32.0,no checking,1<=X<4,100<=X<500,used car,1
18.0,1473.0,39.0,no checking,<1,<100,radio/tv,1
48.0,4308.0,24.0,<0,<1,<100,business,0
8.0,1164.0,51.0,<0,>=7,<100,other,1
18.0,3104.0,31.0,<0,4<=X<7,<100,business,1
48.0,3578.0,47.0,no checking,>=7,no known savings,radio/tv,1
15.0,3343.0,28.0,no checking,1<=X<4,<100,furniture/equipment,1
12.0,2012.0,61.0,no checking,4<=X<7,no known savings,education,1
9.0,1478.0,22.0,no checking,4<=X<7,<100,radio/tv,0
36.0,2712.0,41.0,<0,>=7,<100,furniture/equipment,0
12.0,3386.0,35.0,<0,>=7,<100,used car,0
42.0,4370.0,26.0,<0,4<=X<7,<100,radio/tv,0
6.0,14555.0,23.0,0<=X<200,unemployed,no known savings,new car,0
13.0,1797.0,28.0,<0,<1,<100,business,1
47.0,10722.0,35.0,<0,<1,<100,new car,1
24.0,1552.0,32.0,no checking,4<=X<7,<100,radio/tv,1
12.0,1092.0,49.0,0<=X<200,1<=X<4,<100,radio/tv,1
36.0,9271.0,24.0,<0,4<=X<7,<100,new car,0
18.0,6204.0,44.0,0<=X<200,1<=X<4,<100,repairs,1
6.0,250.0,41.0,no checking,1<=X<4,>=1000,new car,1
12.0,841.0,23.0,0<=X<200,4<=X<7,100<=X<500,business,1
24.0,4712.0,37.0,0<=X<200,1<=X<4,no known savings,business,1
12.0,707.0,30.0,no checking,1<=X<4,<100,radio/tv,1
24.0,947.0,38.0,>=200,4<=X<7,<100,new car,0
36.0,6614.0,34.0,no checking,>=7,<100,new car,1
48.0,3566.0,30.0,0<=X<200,4<=X<7,100<=X<500,business,1
10.0,3949.0,37.0,>=200,<1,<100,new car,1
36.0,5371.0,28.0,<0,1<=X<4,<100,furniture/equipment,1
48.0,6999.0,34.0,<0,4<=X<7,<100,radio/tv,0
36.0,5842.0,35.0,no checking,>=7,<100,used car,1
18.0,629.0,32.0,no checking,>=7,500<=X<1000,radio/tv,1
6.0,753.0,64.0,0<=X<200,1<=X<4,<100,radio/tv,1
24.0,3092.0,22.0,0<=X<200,<1,100<=X<500,radio/tv,0
48.0,9960.0,26.0,0<=X<200,<1,<100,furniture/equipment,0
24.0,4736.0,25.0,0<=X<200,<1,<100,furniture/equipment,0
6.0,1382.0,28.0,no checking,1<=X<4,<100,radio/tv,1
12.0,1386.0,26.0,no checking,1<=X<4,500<=X<1000,new car,0
12.0,2122.0,39.0,<0,1<=X<4,<100,new car,1
30.0,2522.0,39.0,<0,>=7,<100,radio/tv,1
42.0,7174.0,30.0,<0,4<=X<7,no known savings,radio/tv,0
21.0,3976.0,35.0,0<=X<200,4<=X<7,no known savings,furniture/equipment,1
18.0,1913.0,36.0,0<=X<200,<1,>=1000,business,1
12.0,2247.0,36.0,>=200,1<=X<4,<100,new car,1
72.0,5595.0,24.0,0<=X<200,1<=X<4,100<=X<500,radio/tv,0
18.0,8471.0,23.0,<0,1<=X<4,no known savings,education,1
8.0,1237.0,24.0,0<=X<200,1<=X<4,<100,furniture/equipment,0
15.0,802.0,37.0,0<=X<200,>=7,<100,radio/tv,0
48.0,14421.0,25.0,0<=X<200,1<=X<4,<100,business,0
12.0,1262.0,49.0,<0,>=7,no known savings,furniture/equipment,1
48.0,2751.0,38.0,no checking,>=7,no known savings,used car,1
6.0,2108.0,29.0,no checking,4<=X<7,<100,radio/tv,1
24.0,1585.0,40.0,no checking,4<=X<7,<100,furniture/equipment,1
12.0,1413.0,55.0,no checking,4<=X<7,>=1000,used car,1
48.0,3609.0,27.0,no checking,1<=X<4,<100,business,1
30.0,11998.0,34.0,<0,<1,<100,repairs,0
12.0,2930.0,27.0,0<=X<200,4<=X<7,<100,radio/tv,1
12.0,1424.0,55.0,>=200,>=7,no known savings,furniture/equipment,1
8.0,1414.0,33.0,0<=X<200,1<=X<4,<100,radio/tv,1
24.0,2039.0,22.0,0<=X<200,<1,<100,radio/tv,0
18.0,3244.0,33.0,0<=X<200,1<=X<4,<100,furniture/equipment,1
9.0,2134.0,48.0,no checking,1<=X<4,<100,new car,1
18.0,6458.0,39.0,no checking,>=7,<100,new car,0
15.0,806.0,22.0,<0,1<=X<4,<100,business,1
9.0,1138.0,25.0,<0,1<=X<4,<100,radio/tv,1
12.0,1484.0,25.0,0<=X<200,1<=X<4,no known savings,radio/tv,0
9.0,2697.0,32.0,no checking,1<=X<4,<100,radio/tv,1
18.0,1928.0,31.0,0<=X<200,<1,<100,furniture/equipment,0
7.0,2415.0,34.0,0<=X<200,1<=X<4,<100,radio/tv,1
48.0,4844.0,33.0,no checking,unemployed,<100,business,0
9.0,3074.0,33.0,no checking,1<=X<4,no known savings,radio/tv,1
9.0,1366.0,22.0,<0,<1,<100,radio/tv,0
36.0,8335.0,47.0,<0,>=7,no known savings,used car,0
36.0,2746.0,31.0,<0,>=7,<100,furniture/equipment,0
36.0,2613.0,27.0,no checking,1<=X<4,<100,repairs,1
12.0,888.0,41.0,0<=X<200,>=7,<100,new car,0
18.0,1864.0,30.0,no checking,1<=X<4,100<=X<500,education,0
36.0,5493.0,42.0,<0,>=7,<100,used car,1
24.0,2058.0,33.0,no checking,1<=X<4,<100,repairs,1
6.0,1198.0,35.0,<0,>=7,<100,education,0
48.0,7763.0,42.0,<0,>=7,<100,new car,0
18.0,1582.0,46.0,no checking,>=7,>=1000,radio/tv,1
12.0,719.0,41.0,no checking,>=7,<100,education,0
12.0,1185.0,27.0,no checking,1<=X<4,<100,business,1
18.0,2899.0,43.0,0<=X<200,>=7,no known savings,new car,1
6.0,1361.0,40.0,<0,<1,<100,new car,1
42.0,3394.0,65.0,<0,unemployed,<100,repairs,1
30.0,10623.0,38.0,<0,>=7,<100,used car,1
24.0,3234.0,23.0,<0,<1,<100,furniture/equipment,0
24.0,1965.0,42.0,0<=X<200,1<=X<4,no known savings,new car,1
42.0,5954.0,41.0,0<=X<200,4<=X<7,<100,business,1
24.0,4057.0,43.0,0<=X<200,4<=X<7,<100,furniture/equipment,0
6.0,672.0,54.0,no checking,unemployed,<100,new car,1
21.0,3357.0,29.0,<0,<1,>=1000,radio/tv,1
8.0,731.0,47.0,<0,>=7,<100,new car,1
6.0,1338.0,62.0,no checking,1<=X<4,500<=X<1000,domestic appliance,1
9.0,2136.0,25.0,<0,1<=X<4,<100,furniture/equipment,1
27.0,2528.0,32.0,0<=X<200,<1,<100,business,1
18.0,3650.0,22.0,<0,<1,<100,furniture/equipment,1
6.0,1221.0,27.0,no checking,1<=X<4,no known savings,furniture/equipment,1
48.0,3060.0,28.0,0<=X<200,4<=X<7,<100,radio/tv,0
16.0,1175.0,68.0,0<=X<200,unemployed,<100,new car,1
24.0,4817.0,31.0,<0,4<=X<7,<100,new car,0
12.0,2292.0,42.0,no checking,unemployed,<100,business,0
24.0,1533.0,38.0,no checking,<1,<100,radio/tv,1
18.0,3966.0,33.0,<0,>=7,<100,new car,0
24.0,1282.0,32.0,<0,1<=X<4,100<=X<500,radio/tv,0
6.0,2063.0,30.0,0<=X<200,<1,<100,radio/tv,1
24.0,3123.0,27.0,<0,<1,<100,new car,0
9.0,1337.0,34.0,>=200,<1,<100,radio/tv,0
30.0,2333.0,30.0,no checking,>=7,500<=X<1000,radio/tv,1
12.0,759.0,26.0,<0,4<=X<7,<100,new car,0
48.0,7685.0,37.0,<0,4<=X<7,<100,business,0
21.0,1572.0,36.0,no checking,>=7,>=1000,business,1
60.0,7297.0,36.0,<0,>=7,<100,business,0
15.0,1478.0,44.0,<0,>=7,<100,furniture/equipment,1
24.0,6842.0,46.0,no checking,1<=X<4,no known savings,used car,1
11.0,1577.0,20.0,0<=X<200,<1,>=1000,furniture/equipment,1
9.0,1224.0,30.0,no checking,1<=X<4,<100,new car,1
12.0,585.0,20.0,0<=X<200,1<=X<4,<100,radio/tv,1
24.0,2679.0,29.0,no checking,<1,<100,used car,1
24.0,4042.0,43.0,no checking,4<=X<7,no known savings,used car,1
9.0,654.0,28.0,<0,1<=X<4,<100,new car,0
24.0,2670.0,35.0,no checking,>=7,<100,used car,1
24.0,2223.0,52.0,no checking,>=7,100<=X<500,radio/tv,1
36.0,10477.0,42.0,no checking,>=7,no known savings,used car,1
36.0,5742.0,31.0,no checking,4<=X<7,100<=X<500,business,1
15.0,2631.0,28.0,0<=X<200,1<=X<4,100<=X<500,new car,0
12.0,3590.0,29.0,<0,1<=X<4,<100,furniture/equipment,1
24.0,3512.0,38.0,0<=X<200,4<=X<7,100<=X<500,new car,1
36.0,1842.0,34.0,<0,<1,<100,new car,0
12.0,1331.0,22.0,0<=X<200,<1,<100,radio/tv,0
39.0,2569.0,24.0,no checking,1<=X<4,500<=X<1000,used car,1
24.0,3181.0,26.0,no checking,<1,<100,radio/tv,1
6.0,1323.0,28.0,>=200,>=7,100<=X<500,new car,1
12.0,1893.0,29.0,<0,1<=X<4,<100,new car,1
10.0,1275.0,23.0,>=200,<1,<100,furniture/equipment,1
12.0,900.0,23.0,<0,1<=X<4,no known savings,new car,0
48.0,5951.0,22.0,0<=X<200,1<=X<4,<100,radio/tv,0
18.0,1568.0,24.0,no checking,1<=X<4,100<=X<500,business,1
12.0,1076.0,26.0,no checking,1<=X<4,<100,business,1
9.0,790.0,66.0,0<=X<200,1<=X<4,500<=X<1000,radio/tv,1
24.0,3878.0,37.0,0<=X<200,<1,100<=X<500,new car,1
24.0,2603.0,28.0,no checking,1<=X<4,>=1000,used car,1
14.0,802.0,27.0,no checking,1<=X<4,<100,new car,1
21.0,2923.0,28.0,>=200,1<=X<4,100<=X<500,new car,1
12.0,1107.0,20.0,<0,1<=X<4,<100,radio/tv,1
15.0,1213.0,47.0,no checking,>=7,500<=X<1000,radio/tv,1
21.0,5003.0,29.0,no checking,1<=X<4,no known savings,new car,0
36.0,2671.0,50.0,0<=X<200,1<=X<4,100<=X<500,radio/tv,0
9.0,1313.0,20.0,no checking,>=7,<100,furniture/equipment,1
12.0,926.0,38.0,no checking,unemployed,<100,new car,1
24.0,1285.0,32.0,<0,4<=X<7,no known savings,new car,0
18.0,1131.0,33.0,<0,unemployed,<100,furniture/equipment,0
18.0,2039.0,20.0,<0,1<=X<4,<100,furniture/equipment,0
21.0,3652.0,27.0,0<=X<200,4<=X<7,<100,business,1
27.0,5965.0,30.0,0<=X<200,>=7,<100,used car,1
36.0,5800.0,34.0,0<=X<200,1<=X<4,<100,used car,1
45.0,4576.0,27.0,0<=X<200,unemployed,100<=X<500,used car,1
18.0,2659.0,28.0,<0,1<=X<4,>=1000,furniture/equipment,1
6.0,609.0,37.0,<0,4<=X<7,<100,new car,1
36.0,9034.0,29.0,0<=X<200,<1,100<=X<500,furniture/equipment,0
12.0,1495.0,38.0,no checking,>=7,<100,new car,1
12.0,2762.0,25.0,0<=X<200,>=7,no known savings,furniture/equipment,0
9.0,1670.0,22.0,0<=X<200,<1,<100,radio/tv,0
24.0,2611.0,46.0,no checking,>=7,<100,radio/tv,1
15.0,1316.0,47.0,no checking,1<=X<4,500<=X<1000,radio/tv,1
9.0,2753.0,35.0,no checking,>=7,100<=X<500,radio/tv,1
18.0,7374.0,40.0,0<=X<200,unemployed,<100,furniture/equipment,1
18.0,1216.0,23.0,<0,<1,<100,new car,0
24.0,11328.0,29.0,0<=X<200,1<=X<4,<100,other,0
12.0,1410.0,31.0,0<=X<200,1<=X<4,<100,retraining,1
15.0,3643.0,27.0,<0,>=7,<100,furniture/equipment,1
21.0,1188.0,39.0,0<=X<200,>=7,<100,business,0
12.0,2251.0,46.0,>=200,1<=X<4,<100,furniture/equipment,1
18.0,4297.0,40.0,0<=X<200,>=7,<100,furniture/equipment,0
12.0,1963.0,31.0,no checking,4<=X<7,<100,radio/tv,1
30.0,3622.0,57.0,<0,>=7,>=1000,furniture/equipment,1
12.0,2214.0,24.0,<0,1<=X<4,<100,radio/tv,1
12.0,1282.0,20.0,<0,1<=X<4,<100,furniture/equipment,0
48.0,8858.0,35.0,no checking,4<=X<7,no known savings,used car,1
24.0,3349.0,30.0,<0,<1,500<=X<1000,furniture/equipment,0
15.0,2221.0,20.0,no checking,1<=X<4,500<=X<1000,furniture/equipment,1
18.0,3612.0,37.0,0<=X<200,>=7,<100,furniture/equipment,1
12.0,836.0,23.0,0<=X<200,<1,100<=X<500,new car,0
24.0,7393.0,43.0,no checking,1<=X<4,<100,new car,1
18.0,3213.0,25.0,0<=X<200,<1,500<=X<1000,radio/tv,1
18.0,2051.0,33.0,no checking,<1,<100,radio/tv,1
12.0,3527.0,45.0,no checking,<1,no known savings,new car,1
10.0,1240.0,48.0,>=200,>=7,100<=X<500,new car,0
15.0,1403.0,28.0,<0,1<=X<4,<100,new car,1
24.0,1823.0,30.0,<0,unemployed,<100,radio/tv,0
12.0,1155.0,40.0,0<=X<200,>=7,<100,radio/tv,1
12.0,684.0,40.0,<0,1<=X<4,<100,education,0
24.0,1193.0,29.0,<0,unemployed,<100,new car,0
18.0,1149.0,46.0,no checking,1<=X<4,>=1000,radio/tv,1
18.0,1028.0,36.0,no checking,1<=X<4,<100,new car,1
12.0,1200.0,23.0,<0,1<=X<4,no known savings,education,1
6.0,932.0,39.0,0<=X<200,4<=X<7,no known savings,retraining,1
48.0,6143.0,58.0,<0,>=7,<100,used car,0
30.0,1867.0,58.0,no checking,>=7,no known savings,radio/tv,1
18.0,2238.0,25.0,no checking,1<=X<4,<100,radio/tv,1
30.0,4221.0,28.0,0<=X<200,1<=X<4,<100,business,1
36.0,3349.0,28.0,no checking,1<=X<4,<100,furniture/equipment,0
18.0,1961.0,23.0,>=200,>=7,<100,new car,1
15.0,2708.0,27.0,no checking,<1,<100,furniture/equipment,1
12.0,1274.0,37.0,<0,<1,<100,new car,0
12.0,2390.0,50.0,no checking,>=7,no known savings,new car,1
42.0,9283.0,55.0,0<=X<200,unemployed,<100,used car,1
24.0,2892.0,51.0,>=200,>=7,<100,furniture/equipment,1
30.0,3832.0,22.0,0<=X<200,<1,<100,furniture/equipment,1
39.0,14179.0,30.0,<0,4<=X<7,no known savings,furniture/equipment,1
